Year,Country,Arrivals
2020,Ghana,520
2020,Greece,2370
2020,Grenada,20
2020,Guatemala,130
2020,Guinea,20
2020,Guyana,20
2020,Haiti,10
2020,Honduras,70
2020,Hong Kong,47780
2020,Hungary,2710
2020,Iceland,310
2020,India,190150
2020,Indonesia,53100
2020,Iran,5720
2020,Iraq,3000
2020,Ireland,30480
2020,Israel,3400
2020,Italy,23280
2020,Jamaica,180
2020,Japan,99170
2020,Jordan,1060
2020,Kazakhstan,500
2020,Kenya,2730
2020,Kiribati,330
2020,"Korea, South",70480
2020,Kosovo,50
2020,Kuwait,550
2020,Kyrgyzstan,60
2020,Laos,800
2020,Latvia,700
2020,Lebanon,2420
2020,Lesotho,20
2020,Liberia,60
2020,Libya,40
2020,Liechtenstein,40
2020,Lithuania,1170
2020,Luxembourg,240
2020,Macau,1240
2020,Madagascar,50
2020,Malawi,100
2020,Malaysia,83080
2020,Maldives,340
2020,Mali,20
2020,Malta,640
2020,Mauritius,2700
2020,Mexico,3990
2020,"Micronesia, F S",20
2020,Moldova,70
2020,Monaco,20
2020,Mongolia,1480
2020,Montenegro,90
2020,Morocco,320
2020,Mozambique,70
2020,Myanmar,4050
2020,Namibia,90
2020,Nauru,970
2020,Nepal,19960
2020,Netherlands,21830
2020,New Zealand,414230
2020,Nicaragua,40
2020,Nigeria,1620
2020,North Macedonia,690
2020,Norway,6460
2020,Oman,1020
2020,PNG,8660
2020,Pakistan,21630
2020,Palau,10
2020,Panama,100
2020,Paraguay,120
2020,Peru,1740
2020,Philippines,48380
2020,Poland,8630
2020,Portugal,4150
2020,Qatar,70
2020,Romania,1960
2020,Russia,7290
2020,Rwanda,40
2020,Samoa,1490
2020,Saudi Arabia,7160
2020,Senegal,20
2020,Serbia,1200
2020,Seychelles,100
2020,Sierra Leone,70
2020,Singapore,48640
2020,Slovakia,1910
2020,Slovenia,860
2020,Solomon Islands,1560
2020,Somalia,120
2020,South Africa,19440
2020,South Sudan,80
2020,Spain,12780
2020,Sri Lanka,19440
2020,St Kitts/Nevis,20
2020,St Lucia,20
2020,Sudan,520
2020,Suriname,10
2020,Sweden,12810
2020,Switzerland,12040
2020,Syria,990
2020,Taiwan,40230
2020,Tajikistan,10
2020,Tanzania,250
2020,Thailand,19990
2020,Timor-Leste,1050
2020,Tonga,3530
2020,Trinidad/Tobago,170
2020,Tunisia,60
2020,Turkey,2850
2020,Tuvalu,110
2020,"UK, CIs & IOM",261270
2020,USA,195780
2020,Uganda,270
2020,Ukraine,2340
2020,Unit Arab Emir,660
2020,Uruguay,850
2020,Uzbekistan,230
2020,Vanuatu,2780
2020,Venezuela,560
2020,Vietnam,48240
2020,Yemen,140
2020,Zambia,400
2020,Zimbabwe,1930
2021,Afghanistan,5570
2021,Albania,70
2021,Algeria,20
2021,Andorra,10
2021,Argentina,490
2021,Armenia,20
2021,Australia,321450
2021,Austria,530
2021,Azerbaijan,30
2021,Bahrain,10
2021,Bangladesh,2520
2021,Belarus,80
2021,Belgium,610
2021,Bhutan,450
2021,Bosnia/Herzegov,100
2021,Brazil,1430
2021,Brunei,120
2021,Bulgaria,180
2021,Burundi,40
2021,Cambodia,890
2021,Cameroon,10
2021,Canada,4580
2021,Cent Africa Rep,10
2021,Chile,380
2021,China,24140
2021,Colombia,560
2021,"Congo, Dem Rep",60
2021,Costa Rica,30
2021,Croatia,340
2021,Cuba,20
2021,Cyprus,40
2021,Czechia,410
2021,Denmark,680
2021,Ecuador,20
2021,Egypt,1360
2021,El Salvador,20
2021,Eritrea,70
2021,Estonia,120
2021,Ethiopia,330
2021,Fiji,2030
2021,Finland,370
2021,France,4620
2021,Gambia,10
2021,Georgia,100
2021,Germany,4180
2021,Ghana,240
2021,Greece,410
2021,Guatemala,30
2021,Guinea,40
2021,Honduras,30
2021,Hong Kong,3950
2021,Hungary,250
2021,Iceland,10
2021,India,42400
2021,Indonesia,5330
2021,Iran,3150
2021,Iraq,2490
2021,Ireland,3730
2021,Israel,690
2021,Italy,2520
2021,Jamaica,30
2021,Japan,3510
2021,Jordan,410
2021,Kazakhstan,100
2021,Kenya,680
2021,Kiribati,330
2021,"Korea, South",4200
2021,Kosovo,10
2021,Kuwait,60
2021,Laos,60
2021,Latvia,120
2021,Lebanon,1270
2021,Liberia,50
2021,Libya,10
2021,Lithuania,170
2021,Luxembourg,10
2021,Macau,20
2021,Malawi,10
2021,Malaysia,6060
2021,Maldives,30
2021,Malta,70
2021,Mauritius,280
2021,Mexico,350
2021,Moldova,10
2021,Mongolia,410
2021,Montenegro,40
2021,Morocco,80
2021,Mozambique,10
2021,Myanmar,720
2021,Nauru,110
2021,Nepal,7100
2021,Netherlands,2350
2021,New Zealand,174160
2021,Nigeria,960
2021,North Macedonia,280
2021,Norway,570
2021,Oman,60
2021,PNG,950
2021,Pakistan,7480
2021,Peru,200
2021,Philippines,10410
2021,Poland,810
2021,Portugal,530
2021,Qatar,20
2021,Romania,440
2021,Russia,1100
2021,Rwanda,30
2021,Samoa,3340
2021,Saudi Arabia,740
2021,Serbia,210
2021,Sierra Leone,60
2021,Singapore,10110
2021,Slovakia,220
2021,Slovenia,120
2021,Solomon Islands,2610
2021,Somalia,140
2021,South Africa,3970
2021,South Sudan,70
2021,Spain,1280
2021,Sri Lanka,5210
2021,Sudan,190
2021,Sweden,1020
2021,Switzerland,610
2021,Syria,520
2021,Taiwan,1050
2021,Tanzania,40
2021,Thailand,2570
2021,Timor-Leste,130
2021,Tonga,3040
2021,Trinidad/Tobago,20
2021,Tunisia,20
2021,Turkey,800
2021,Tuvalu,40
2021,"UK, CIs & IOM",27470
2021,USA,14610
2021,Uganda,60
2021,Ukraine,1090
2021,Unit Arab Emir,140
2021,Uruguay,40
2021,Uzbekistan,60
2021,Vanuatu,5510
2021,Venezuela,130
2021,Vietnam,5910
2021,Yemen,60
2021,Zambia,130
2021,Zimbabwe,580
2022,Afghanistan,9360
2022,Albania,730
2022,Algeria,290
2022,Andorra,40
2022,Angola,50
2022,Antigua/Barbuda,60
2022,Argentina,12820
2022,Armenia,330
2022,Australia,4730250
2022,Austria,10320
2022,Azerbaijan,270
2022,Bahamas,60
2022,Bahrain,190
2022,Bangladesh,26420
2022,Barbados,100
2022,Belarus,540
2022,Belgium,12310
2022,Belize,20
2022,Benin,20
2022,Bhutan,7340
2022,Bolivia,260
2022,Bosnia/Herzegov,790
2022,Botswana,530
2022,Brazil,43550
2022,Brunei,2750
2022,Bulgaria,1460
2022,Burkina Faso,20
2022,Burundi,160
2022,Cabo Verde,10
2022,Cambodia,12620
2022,Cameroon,130
2022,Canada,98660
2022,Cent Africa Rep,10
2022,Chile,14460
2022,China,197540
2022,Colombia,31130
2022,"Congo, Dem Rep",640
2022,"Congo, Rep",40
2022,Costa Rica,390
2022,Cote d'Ivoire,60
2022,Croatia,2050
2022,Cuba,170
2022,Cyprus,930
2022,Czechia,5620
2022,Denmark,16000
2022,Dominica,70
2022,Dominican Rep,150
2022,Ecuador,1430
2022,Egypt,6980
2022,El Salvador,320
2022,Eritrea,610
2022,Estonia,3280
2022,Eswatini,20
2022,Ethiopia,1360
2022,Fiji,35350
2022,Finland,7200
2022,France,107770
2022,Gabon,10
